year,month,avg_visitors
2008,2,1034.851851851852
2008,3,1008.9032258064516
2008,4,981.1666666666666
2008,5,898.741935483871
2008,6,914.1666666666666
2008,7,1057.032258064516
2008,8,1019.1612903225806
2008,9,875.1333333333333
2008,10,918.7096774193549
2008,11,822.9666666666667
2008,12,663.5
2009,1,691.8235294117648
2009,2,847.1785714285714
2009,3,878.2903225806451
2009,4,831.4
2009,5,798.0322580645161
2009,6,949.7333333333333
2009,7,1070.4193548387098
2009,8,1096.2903225806451
2009,9,1015.0
2009,10,1145.0967741935483
2009,11,1079.0
2009,12,894.0
2010,1,918.3666666666667
2010,2,1060.5714285714287
2010,3,1115.967741935484
2010,4,1029.3333333333333
2010,5,1011.7741935483871
2010,6,958.8
2010,7,1073.6129032258063
2010,8,1209.774193548387
2010,9,1068.6333333333334
2010,10,1215.3548387096773
2010,11,1130.0666666666666
2010,12,785.1379310344828
2011,1,1261.3
2011,2,1289.642857142857
2011,3,1232.8709677419354
2011,4,1118.7
2011,5,1065.258064516129
2011,6,1095.5
2011,7,1234.9354838709678
2011,8,1283.8064516129032
2011,9,1166.5666666666666
2011,10,1245.7096774193549
2011,11,1216.5666666666666
2011,12,1118.3103448275863
2012,1,1375.2
2012,2,1248.7931034482758
2012,3,1197.7096774193549
2012,4,1215.9333333333334
2012,5,1045.967741935484
2012,6,1001.2333333333333
2012,7,1216.0645161290322
2012,8,1215.483870967742
2012,9,1126.6666666666667
2012,10,1238.1935483870968
2012,11,1242.2
2012,12,971.6071428571429
2013,1,1046.8709677419354
2013,2,1056.7142857142858
2013,3,1029.9354838709678
2013,4,955.5666666666667
2013,5,960.516129032258
2013,6,884.8666666666667
2013,7,953.8064516129032
2013,8,1069.1935483870968
2013,9,995.2666666666667
2013,10,1218.4516129032259
2013,11,1235.2
2013,12,1096.7333333333333
2014,1,1348.8064516129032
2014,2,1308.607142857143
2014,3,1214.1935483870968
2014,4,1129.3
2014,5,1100.1935483870968
2014,6,992.0333333333333
2014,7,1062.483870967742
2014,8,1261.1290322580646
2014,9,1089.2
2014,10,1157.7096774193549
2014,11,1164.6
2014,12,1076.9333333333334
2015,1,1358.9411764705883
2015,2,1279.9642857142858
2015,3,1200.741935483871
2015,4,1116.1
2015,5,1103.3548387096773
2015,6,1013.8333333333334
2015,7,1159.483870967742
2015,8,1204.9354838709678
2015,9,1081.3333333333333
2015,10,1237.6451612903227
2015,11,1181.9666666666667
2015,12,1203.2941176470588
2016,1,1295.0
2016,2,1363.4137931034484
2016,3,1293.483870967742
2016,4,1122.7
2016,5,1051.516129032258
2016,6,978.7666666666667
2016,7,1012.4193548387096
2016,8,1131.483870967742
2016,9,935.3666666666667
2016,10,1328.6129032258063
2016,11,1176.7333333333333
2016,12,1182.1935483870968
2017,1,1326.6
2017,2,1346.25
2017,3,1212.3225806451612
2017,4,1205.5666666666666
2017,5,966.258064516129
2017,6,947.7666666666667
2017,7,1106.032258064516
2017,8,1169.0645161290322
2017,9,1046.1333333333334
2017,10,1361.4193548387098
2017,11,1281.7333333333333
2017,12,1144.3870967741937
2018,1,1407.8387096774193
2018,2,1260.0714285714287
2018,3,1196.225806451613
2018,4,1076.3333333333333
2018,5,992.1935483870968
2018,6,961.9666666666667
2018,7,1081.5483870967741
2018,8,1143.0645161290322
2018,9,1142.3666666666666
2018,10,1252.4193548387098
2018,11,1248.6666666666667
2018,12,1243.0
2019,1,1439.1290322580646
2019,2,1317.25
2019,3,1374.483870967742
2019,4,1150.5
2019,5,1120.6451612903227
2019,6,1025.7666666666667
2019,7,1130.258064516129
2019,8,1221.7096774193549
2019,9,1178.2
2019,10,1394.7096774193549
2019,11,1327.4666666666667
2019,12,1271.5333333333333
2020,1,1527.258064516129
2020,2,1455.5862068965516
2020,3,1015.4285714285714
2020,6,550.5714285714286
2020,7,845.9354838709677
2020,8,896.6129032258065
2020,9,953.8333333333334
2020,10,1090.258064516129
2020,11,1373.0
2020,12,1552.5
2021,1,1066.5
2021,6,758.7391304347826
2021,7,1007.5806451612904
2021,8,1214.516129032258
2021,9,1070.6333333333334
2021,10,1260.9354838709678
2021,11,1028.1
2021,12,912.5483870967741
2022,1,1074.0333333333333
2022,2,1099.3214285714287
2022,3,989.5483870967741
2022,4,1094.5666666666666
2022,5,1028.9354838709678
2022,6,984.6333333333333
2022,7,1060.258064516129
2022,8,1097.8064516129032
2022,9,1110.8666666666666
2022,10,1296.0
2022,11,1214.4
2022,12,1177.225806451613
2023,1,1506.8666666666666
2023,2,1415.75
2023,3,1276.7096774193549
2023,4,1162.9
2023,5,942.7096774193549
2023,6,875.5
2023,7,1201.6774193548388
2023,8,1175.9354838709678
2023,9,1038.6333333333334
2023,10,1373.1935483870968
2023,11,1251.3
2023,12,1241.1612903225807
2024,1,1451.6774193548388
2024,2,1445.3103448275863
2024,3,1284.3225806451612
2024,4,1182.1666666666667
2024,5,1038.3225806451612
2024,6,986.6666666666666
2024,7,1110.741935483871
2024,8,1178.3870967741937
2024,9,1163.1333333333334
2024,10,1400.1612903225807
2024,11,1321.6333333333334
2024,12,1291.1724137931035
2025,1,1420.0967741935483
2025,2,1343.2142857142858
2025,3,1185.3548387096773
2025,4,1081.5333333333333
2025,5,1043.3548387096773
2025,6,1001.4333333333333
2025,7,1092.6774193548388
2025,8,1150.6774193548388
2025,9,1031.1666666666667
2025,10,1350.0
2025,11,1243.1739130434783
2025,12,1533.5
